User;Genre;Conf;Storytelling;Rhythm;Movements;Public Involvment;Use of space;Human characterization;Human reproducibility;
651c02cd725ed8394f32b100;1;0;2;2;2;1;2;2;3;
651c02cd725ed8394f32b100;1;1;3;3;3;3;3;3;2;
651c02cd725ed8394f32b100;1;2;1;1;1;1;1;1;1;
651c02cd725ed8394f32b100;2;0;1;2;2;2;2;2;2;
651c02cd725ed8394f32b100;2;1;1;1;1;1;1;1;3;
651c02cd725ed8394f32b100;2;2;1;2;1;1;2;1;3;
5c3ed18bde04ad0001d90f0c;1;0;1;1;1;1;2;1;4;
5c3ed18bde04ad0001d90f0c;1;1;2;3;4;2;3;4;4;
5c3ed18bde04ad0001d90f0c;1;2;2;4;3;3;3;4;5;
5c3ed18bde04ad0001d90f0c;2;0;4;4;4;4;4;5;5;
5c3ed18bde04ad0001d90f0c;2;1;3;3;3;1;4;4;5;
5c3ed18bde04ad0001d90f0c;2;2;4;4;4;4;4;5;5;
none;1;0;4;4;3;3;2;3;3;
none;1;1;4;4;4;4;3;4;3;
none;1;2;4;4;4;3;3;3;3;
none;3;0;3;4;2;2;2;2;3;
none;3;1;3;4;4;4;3;3;3;
none;3;2;5;5;4;5;3;4;4;
5f343de4d0c07630b7f90b92;1;0;2;2;3;1;3;2;4;
5f343de4d0c07630b7f90b92;1;1;2;2;3;2;3;4;4;
5f343de4d0c07630b7f90b92;1;2;2;2;3;2;3;2;3;
5f343de4d0c07630b7f90b92;3;0;3;2;3;2;3;2;2;
5f343de4d0c07630b7f90b92;3;1;2;3;3;2;3;3;4;
5f343de4d0c07630b7f90b92;3;2;3;2;3;2;3;3;2;
5ed4f048f7b6fe02e0d9ffe3;1;0;1;2;2;2;1;4;5;
5ed4f048f7b6fe02e0d9ffe3;1;1;2;2;4;3;2;4;5;
5ed4f048f7b6fe02e0d9ffe3;1;2;2;2;4;2;2;4;4;
5ed4f048f7b6fe02e0d9ffe3;3;0;2;4;4;4;2;4;4;
5ed4f048f7b6fe02e0d9ffe3;3;1;2;4;4;3;2;4;4;
5ed4f048f7b6fe02e0d9ffe3;3;2;1;3;3;2;2;4;4;
6571eb693f30acef16030032;1;0;1;1;1;1;1;2;4;
